--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction, OCR1A
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
454, 1, 0, 136
